u11,u21,u12,u22,theta(2),alpha(2),beta(2)
6,5.5,1,5,"(-2.8113,0)","(1.40565,1.80546)","(-0.832981,2.00593)"
6,5.5,1,4,"(-2.8113,0)","(1.40565,1.80546)","(-0.942,1.91703)"
6,5.5,1,3,"(-2.8113,0)","(1.40565,1.80546)","(-1.07145,1.83498)"
6,5.5,1,2.5,"(-2.8113,0)","(1.40565,1.80546)","(-1.14417,1.79866)"
6,5.5,1,2,"(-2.8113,0)","(1.40565,1.80546)","(-1.22203,1.76684)"
6,5.5,1,1.5,"(-2.8113,0)","(1.40565,1.80546)","(-1.30454,1.74062)"
6,5.5,1,1,"(-2.8113,0)","(1.40565,1.80546)","(-1.39094,1.72101)"
6,5.5,1,0.5,"(-2.8113,0)","(1.40565,1.80546)","(-1.48014,1.70886)"
6,5.5,0.5,5.5,"(-2.97531,0)","(1.48766,1.79522)","(-0.785398,2.05132)"
6,5.5,0.5,4,"(-2.97531,0)","(1.48766,1.79522)","(-0.942,1.91703)"
6,5.5,0.5,3.5,"(-2.97531,0)","(1.48766,1.79522)","(-1.00407,1.87475)"
6,5.5,0.5,3,"(-2.97531,0)","(1.48766,1.79522)","(-1.07145,1.83498)"
6,5.5,0.5,2,"(-2.97531,0)","(1.48766,1.79522)","(-1.22203,1.76684)"
6,5.5,0.5,1,"(-2.97531,0)","(1.48766,1.79522)","(-1.39094,1.72101)"
6,5.5,0.5,0.5,"(-2.97531,0)","(1.48766,1.79522)","(-1.48014,1.70886)"
6,5.5,0.5,0,"(-2.97531,0)","(1.48766,1.79522)","(-1.5708,1.70475)"
6,5.5,0,6,"(-3.14159,0)","(1.5708,1.79176)","(-0.741947,2.09672)"
6,5.5,0,4.5,"(-3.14159,0)","(1.5708,1.79176)","(-0.885067,1.96099)"
6,5.5,0,3.5,"(-3.14159,0)","(1.5708,1.79176)","(-1.00407,1.87475)"
6,5.5,0,3,"(-3.14159,0)","(1.5708,1.79176)","(-1.07145,1.83498)"
6,5.5,0,2,"(-3.14159,0)","(1.5708,1.79176)","(-1.22203,1.76684)"
6,5.5,0,1.5,"(-3.14159,0)","(1.5708,1.79176)","(-1.30454,1.74062)"
6,5.5,0,1,"(-3.14159,0)","(1.5708,1.79176)","(-1.39094,1.72101)"
6,5.5,0,0.5,"(-3.14159,0)","(1.5708,1.79176)","(-1.48014,1.70886)"
6,5,6,6,"(-1.5708,0)","(0.785398,2.13833)","(-0.694738,2.05544)"
6,5,6,4,"(-1.5708,0)","(0.785398,2.13833)","(-0.896055,1.85679)"
6,5,6,3.5,"(-1.5708,0)","(0.785398,2.13833)","(-0.96007,1.80883)"
6,5,6,3,"(-1.5708,0)","(0.785398,2.13833)","(-1.03038,1.76318)"
6,5,6,2.5,"(-1.5708,0)","(0.785398,2.13833)","(-1.10715,1.72101)"
6,5,6,1.5,"(-1.5708,0)","(0.785398,2.13833)","(-1.27934,1.65253)"
6,5,6,1,"(-1.5708,0)","(0.785398,2.13833)","(-1.3734,1.62905)"
6,5,6,0.5,"(-1.5708,0)","(0.785398,2.13833)","(-1.47113,1.61441)"
6,5,6,0,"(-1.5708,0)","(0.785398,2.13833)","(-1.5708,1.60944)"
6,5,5.5,6,"(-1.6577,0)","(0.828849,2.09672)","(-0.694738,2.05544)"
6,5,5.5,5.5,"(-1.6577,0)","(0.828849,2.09672)","(-0.737815,2.00593)"
6,5,5.5,5,"(-1.6577,0)","(0.828849,2.09672)","(-0.785398,1.95601)"
6,5,5.5,4,"(-1.6577,0)","(0.828849,2.09672)","(-0.896055,1.85679)"
6,5,5.5,3,"(-1.6577,0)","(0.828849,2.09672)","(-1.03038,1.76318)"
6,5,5.5,2.5,"(-1.6577,0)","(0.828849,2.09672)","(-1.10715,1.72101)"
6,5,5.5,1.5,"(-1.6577,0)","(0.828849,2.09672)","(-1.27934,1.65253)"
6,5,5.5,1,"(-1.6577,0)","(0.828849,2.09672)","(-1.3734,1.62905)"
6,5,5.5,0.5,"(-1.6577,0)","(0.828849,2.09672)","(-1.47113,1.61441)"
6,5,5.5,0,"(-1.6577,0)","(0.828849,2.09672)","(-1.5708,1.60944)"
6,5,5,5,"(-1.75212,0)","(0.876058,2.05544)","(-0.785398,1.95601)"
6,5,5,4,"(-1.75212,0)","(0.876058,2.05544)","(-0.896055,1.85679)"
6,5,5,3.5,"(-1.75212,0)","(0.876058,2.05544)","(-0.96007,1.80883)"
6,5,5,2,"(-1.75212,0)","(0.876058,2.05544)","(-1.19029,1.68365)"
6,5,5,1.5,"(-1.75212,0)","(0.876058,2.05544)","(-1.27934,1.65253)"
6,5,4.5,5.5,"(-1.85459,0)","(0.927295,2.0149)","(-0.737815,2.00593)"
6,5,4.5,4,"(-1.85459,0)","(0.927295,2.0149)","(-0.896055,1.85679)"
6,5,4.5,3.5,"(-1.85459,0)","(0.927295,2.0149)","(-0.96007,1.80883)"
6,5,4.5,1.5,"(-1.85459,0)","(0.927295,2.0149)","(-1.27934,1.65253)"
6,5,4.5,1,"(-1.85459,0)","(0.927295,2.0149)","(-1.3734,1.62905)"
6,5,4.5,0.5,"(-1.85459,0)","(0.927295,2.0149)","(-1.47113,1.61441)"
6,5,4,6,"(-1.96559,0)","(0.982794,1.97562)","(-0.694738,2.05544)"
6,5,4,5.5,"(-1.96559,0)","(0.982794,1.97562)","(-0.737815,2.00593)"
6,5,4,5,"(-1.96559,0)","(0.982794,1.97562)","(-0.785398,1.95601)"
6,5,4,4.5,"(-1.96559,0)","(0.982794,1.97562)","(-0.837981,1.9061)"
6,5,4,3.5,"(-1.96559,0)","(0.982794,1.97562)","(-0.96007,1.80883)"
6,5,4,2.5,"(-1.96559,0)","(0.982794,1.97562)","(-1.10715,1.72101)"
6,5,4,1.5,"(-1.96559,0)","(0.982794,1.97562)","(-1.27934,1.65253)"
6,5,4,1,"(-1.96559,0)","(0.982794,1.97562)","(-1.3734,1.62905)"
6,5,4,0.5,"(-1.96559,0)","(0.982794,1.97562)","(-1.47113,1.61441)"
